sentence,length
oñ jihofa o̩jo̩ mone̩ du oñ i mu du tef uche̩ ide̩n ki lo ki la nade,68
taku jihofa o̩jo̩ tuko̩ ñw one̩ kakini e̩ro oli du ef uche̩i e̩je̩ oñ e̩ je̩ hiaa,81
ama e̩ro oli umae̩wñe̩nyo̩kpaie̩bie̩ne̩ uwe̩ ki je̩ ele̩ n todu o̩jo̩ ke̩ jele̩ eku oñ e̩ ku,92
taku jihofa o̩jo̩ kakini i nyo̩ kone̩ kate ki do̩mo̩ abe̩le̩ n omi ache e̩ne̩ ki abo̩ che ki choje̩go̩wñ,104
jihofa o̩jo̩ la nike̩te̩ bo̩ ame̩wñ iñmi oko okoke du kpai ame̩we̩ ojale okoke du tak i mu ko wugbo one̩ ki go alu ki adodu ñw uma oñ e̩wñ du kone̩ dodu onugo e̩wñ iñmi le̩ okoke du ko̩ mak ele̩ choduwñ,202
oñ one̩ modu du ñw ame̩la abe̩re̩me̩le̩ du kpai ame̩we̩ ojale kpai ame̩wñ iñmi oko okoke du ma muda li e̩ne̩ ki choje̩go̩ one̩ ki abo̩ che n,140
taku jihofa o̩jo̩ je̩ ñw olu lile mone̩ du oñ abu ki alolu i mikeliwñ oka du oñ i mo̩re̩la du dabi boma koji,108
tak ikeli ki jihofa o̩jo̩ du kwef one̩ i mudu che onobule̩ oñ i mowñ du wugbo one̩,82
tak one̩ kakini,15
ihii fai tak ekide̩ chachiku ki kwef achiku emi kpai o̩re̩la ki kwef o̩re̩lami,78
ma adoduwñ ko̩ onobule̩,23
todabu ku ma mu du kwef one̩,28
todule̩ e̩ne̩ke̩le̩ atatawñ kpai iyewñ no̩ ki la amanyo̩yawñ oñ ama amud o̩re̩la okate,86
ama meji la tago ofo owñ chone̩ kpai o̩yawñ ma la chanyo̩ n,59
one̩ muñwa nane̩,16
ejo le̩ la gbeju tame̩wñ iñmi oko du ki jihofa o̩jo̩ che le oñ i ka ñw onobule̩ le̩ kakini ochochi o̩jo̩ ka kame̩ ki je̩ro oli du ef uche̩i n,141
tak onobule̩ le̩ ka ñw ejo kakini e̩ro oli uche̩i a aje̩,56
ama e̩ro oli eki dalumeji uche̩i o̩jo̩ kakini me̩ ki je̩ ele̩ n me̩ ki la do̩wo̩kado n tode̩gba ku me̩ aku,106
ama ejo le̩ ka ñw onobule̩ kakini i cheku me̩ aku n,51
todu o̩jo̩ chema ka ko̩jo̩ ku me̩ je̩ ele̩ e̩gbale̩ tak ejume̩ ane̩ taku me̩ adab o̩jo̩ me̩ ama e̩nyo̩ kpai e̩bie̩ne̩,117
tak onobule̩ le̩ li ka koli le̩ chenyo̩ todu uje̩wñ ki laño̩ chuto̩ eju koli le̩ laño̩ che̩wñ ki nyo̩ one̩ eju ki aje̩ ñw u nibe i me̩rowñ ka i la mudu je̩ i ño̩ mudu ñw o̩ko̩wñ kpai owñ i laño̩ je̩ ge̩,202
tak ejuma meji mune̩ oñ ma ma ka ku ma tago ofo taku ma feñmi o̩gbaikolo ga momune̩ oñ ma mu ko che e̩wñ ulago ñw o̩lama,120
taku ma gbo̩ abu ku jihofa o̩jo̩ alule̩ ef uche̩ le̩ adiko e̩gba kafu afe̩ro̩la tak one̩ kpai o̩yawñ mo̩lama ko maja beju jihofa o̩jo̩ te̩ ef ujoli uche̩ le̩,157
taku jihofa o̩jo̩ nomudala do̩ one̩ i la ka ñw u kakini ugbo e̩ de̩,67
oñ i kakini u gbiche̩we̩ ef uche̩ oñ u railo todabu ku tago ofo tak u do̩lami majai,83
tak i kakini e̩ne̩ ka ñw e̩ ka ke̩ tago ofo uwe̩ je̩ e̩ro oli ekomi tuko̩ ñw e̩ ka ke̩ we eje̩ le̩,98
tak one̩ kakini onobule̩ ke̩ duwa ki dugbo mi owñ me̩ro oli le̩ du ñw mi oñ u mu du je̩,87
taku jihofa o̩jo̩ ka ñw onobule̩ le̩ kakini e̩wñ chekuwe̩ chei tak onobule̩ le̩ kakini ejo le̩ gba mi ibe tak u je̩,115
taku jihofa o̩jo̩ ka ñw ejo kakini,34
todabu kuwe̩ chei,17
uwe̩ oñ ama amu tame̩wño̩re̩,28
kpai ame̩la oko du le,21
efuwe̩ oñ e̩ ne̩ alule̩,23
ebutu e̩ ñaje̩,14
o̩jo̩ du kudejuwe̩ kade,23
nanyi o̩la tagbagba uwe̩ kpai onobule̩,38
kpai agbagba ugbe̩we̩ kpai ugbe̩wñ,34
i afuwe̩ oji gwenunu,20
oñ uwe̩ afowñ agbe̩re̩ gwenunu,30
tak i ka ñw onobule̩ kakini,27
naje̩ ñw e̩do̩ e̩kpabie̩we̩ ki nana nyo̩gba ololo kpai efuwe̩ ke̩ nyo̩,70
o̩ma ebiwe̩ ache̩do̩dudu ñw e̩,30
uwe̩ añeju o̩ko̩we̩ kpo̩o̩,26
owñ la ano̩da uwe̩,18
tak i ka ñw one̩ kakini,23
todabu ke̩ gba omu o̩yawe̩ gbo̩,31
ke̩ la me̩ro oli,16
komi tuko̩ ñw e̩ kakini,23
e̩ ki je̩ n du je̩ le̩,22
ama fane̩pe̩te̩ mu tod uwe̩ me̩,31
uwe̩ aje̩ e̩wñ kwefuwñ kpai e̩do̩dudu o̩jo̩ du kudejuwe̩ kade,61
ikeke kpai edudu egbe oñ i adufu ñw e̩ ge̩,42
uwe̩ la aje̩ eñmi oko kwe̩ kwe̩ kwe̩,36
ugu ate̩ oji tak e̩ juje̩wñ,27
gbogbo tak e̩ dabi tef ane̩,27
todu efuwñ oñ ma duwe̩ kwo,26
ebutu uwe̩ che,14
e̩ ñadabi tef ebutu ge̩,23
one̩ la dodu o̩yawñ ko̩ if todabu kowñ chugugu iye ñw e̩wñ du ki deju,69
taku jihofa o̩jo̩ fafe̩ año̩ che tod one̩ kpai o̩yawñ oñ i mu du to̩lama,72
taku jihofa o̩jo̩ kakini go one̩ dab awa me̩ i chema e̩nyo̩ kpai e̩bie̩ne̩ fai tode̩gba ki ano̩wo̩wñ dala ki laño̩ me̩ro oli eiñmi ka ki je̩ ki la adeju ogbegbele̩—,164
todule̩ jihofa o̩jo̩ mowñ du kwef uche̩ ide̩n dufu ki naluche̩ ane̩ eku ma dowñ kwefuwñ le̩,91
abe̩le̩ i fone̩ le̩ ne dufu tak i kamiche̩rub kpai o̩go̩ una ki dab o̩kwo̩chageli ki arida okokolo gugu o̩wo̩ olodudu uche̩ ide̩n ku ma de o̩na oli eiñmi le̩,157
ken kpai ebe̩l,14
oñ one̩ fo̩yawñ if ma oñ i fefu nyo̩ i la fu ken bi i kakini u fe̩ne̩ke̩le̩ ne̩ lugbo jihofa me̩,96
tak i ño̩ bi o̩mayewñ ebe̩l ge̩ ebe̩l la chadejute̩ ame̩wño̩re̩ egini ken muda chaluche̩,88
gbogbo taku ken me̩ro uche̩ ko wa ki du che jihofa ele,54
ebe̩l ge̩ i ño̩ chi kwef amo̩mojo̩do̩ ame̩wño̩re̩wñ egini wa eki yoyo efuma jihofa la go ebe̩l kpai e̩wñ ele ki kowa,116
i muda go ken kpai e̩wñ ele ki kowa le̩ n taku ken we̩do̩ nana ejuwñ la kpa,75
taki jihofa ka ñwu ken kakini e̩wñ chi ke̩ we̩do̩ e̩wñ chi kejuwe̩ la che̩kpai,78
iche̩wñ kuwe̩ ache e̩nyo̩ ejuwe̩ acheju anyi n iche̩wñ kuwe̩ ma che e̩nyo̩ n mak adure adade alugbo̩na le̩ i añeju we̩ uwe̩ ki muda no̩dawñ,139
taki ken ko̩la ñw ebe̩l o̩mayewñ oñ abu ku ma joko ken kwane̩ tebe̩l o̩mayewñ o̩la oñ i mu du kpa,97
taku jihofa ka ñwu ken kakini ugbo ebe̩l o̩mayewe̩ de̩ oñ i kakini u ma no omi chadejute̩ o̩mayemi,98
tak i kakini e̩wñ uwe̩ chei omuko̩la e̩bie̩ o̩mayewe̩ def ane̩ akwa do̩ mi,74
fai ama la fe̩ mu kwef ane̩ eki maluwñ chi te̩ ki gba e̩bie̩ o̩mayewe̩ kwef o̩wo̩we̩ le̩,88
e̩gba ke̩ luche̩ ane̩i akwe̩gbai i ñadukpahiuwñ ñw e̩ ge̩ n e̩nara kpai e̩nujulu oñ uwe̩ ache ane̩ile̩i,103
taki ken ka ñwu jihofa kakini udu ke̩ bu mii i nana tumi le,59
go e̩ fumi ne beju ane̩ te̩ eñinii me̩ u la ñamaja bejuwe̩ te̩ ge̩ tak u nache̩nara kpai e̩nujulu ane̩ile̩ i dabe̩le̩ mak e̩ne̩ du ki li mi adumi kpa,149
taku jihofa ka ñw u kakini i chabe̩le̩ n e̩ne̩ du ki du ken kpa ma akpo̩chiwñ onu mebie taki jihofa mujiwe du gamu ken o̩la tode̩gba ke̩ne̩ ki liu adu kpa,154
taki ken kwo beju jihofa te̩ oñ i kwo gugu ane̩ no̩d o̩wo̩ olodudu ide̩n,72
taki ken fo̩yawñ ma oñ i fefu nyo̩ i la fino̩k bi tak i le teke fodoka do i la modu ewo le̩ du rodu o̩mawñ ino̩k,112
ma la bi irad ñw ino̩k irad la bi me̩hujae̩l me̩hujae̩l la bi me̩tushae̩l me̩tushae̩l la bi lame̩k,98
taki lame̩k fo̩ya meji ne̩ ñw o̩lawñ odu oka ko̩ ada oñ odu ekejiwñ ko̩ zila,76
ada la bi jabal owñ chata abo ku ma gugu ef unyabo ku ma ne̩ ame̩wñukpa,71
odu o̩mayewñ e̩ne̩ke̩le̩ ko̩ jubal owñ la chata abo du ku ma numolo kpai o̩kpachine̩,84
taki zila onobule̩ le̩ bi tubalken owñ che̩ne̩ ki anebijeikpa kpai ebije gwu e̩wñ eku ojoji du o̩maye tubalken onobule̩ che naama,129
oñ lame̩k ka ñw amo̩yawñ kakini,31
ada kpai zila me̩ nagbomumi,27
ame̩ ku me̩ chamo̩ya lame̩k me̩ nanetiruko̩lami,47
todu omi fone̩ kpa tod agbe ki che mi,37
okolobiaka tod egwenunu ki fumi gwe̩nunu,40
iche̩wñ ku ma akpo̩chi ken onu mebie,36
mak elame̩k ache̩te̩gwa nyoke mebie,35
ade̩m ño̩ fo̩yawñ ma ge̩ oñ i fo̩me̩ne̩ke̩le̩ bi i la doduwñ ko̩ se̩t todu o̩jo̩ mugbe̩ omune̩ dute̩ ñwu mi koji ebe̩l me̩ todu ken fowñ kpa,140
se̩t ge̩ ma ño̩ fo̩me̩ne̩ke̩le̩ bi ñw u tak i doduwñ ko̩ ino̩sh e̩gbale̩ tak amone̩ chane̩ e̩do̩ odu jihofa,107
akwo ade̩m wa noa,17
o̩takada o̩lo̩pu ade̩m o̩gba o̩gba de̩ iko o̩jo̩ ko̩jo̩ nyi one̩ i cho ki biu o̩jo̩,83
o̩ko̩ kpai o̩ya oñ i nyi ma i laño̩ de̩nyo̩ ñwu ma oñ i doduma ko̩ ade̩m o̩jo̩ ki nyi ma,88
ade̩m la do̩do̩ o̩gbo̩ me̩fa nyoke me̩gwa tak i bi o̩me̩ne̩ke̩le̩ ki chebiu owñ onugo dab ojibowñ i la doduwñ ko̩ se̩t,118
oñ o̩jo̩ ade̩m abu ki fu se̩t bi ño̩ jo̩ o̩do̩ icham i ño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,94
o̩jo̩ kade̩m deju chaka du la cho̩do̩ icham nyo̩gbo̩ me̩fa nyoke me̩gwa tak i leku,82
se̩t la do̩do̩ ogume̩lu nyoke me̩lu tak i bi ino̩sh,51
abu ki fino̩sh bi se̩t ño̩ deju o̩do̩ icham nyoke mebie i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,99
abe̩le̩ o̩jo̩ se̩t chaka du la cho̩do̩ icham nyogume̩lu nyoke me̩gweji tak i leku,81
oñ ino̩sh deju o̩do̩ o̩gbo̩ me̩le̩ nyoke me̩gwa tak i bi kenan,62
abu ki fu kenan bi ino̩sh ño̩ deju o̩do̩ icham nyoke me̩gwe̩lu i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,106
abe̩le̩ o̩jo̩ ino̩sh chaka du la cho̩do̩ icham nyogume̩lu nyoke me̩lu tak i leku,80
oñ kenan deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩gwa tak i bi mahalale̩l,65
abu ki fu mahalale̩l bi kenan ño̩ deju o̩do̩ icham nyo̩gbo̩ meji i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,108
abe̩le̩ o̩jo̩ kenan chaka du la cho̩do̩ icham nyogume̩lu nyoke me̩gwa tak i leku,80
oñ mahalale̩l deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩lu tak i bi jare̩d,65
abu ki fu jare̩d bi mahalale̩l ño̩ deju o̩do̩ icham nyogue̩gwa i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,106
abe̩le̩ o̩jo̩ mahalale̩l chaka du la cho̩do̩ icham nyo̩gbo̩ me̩le̩ nyoke me̩gwe̩lu tak i leku,93
oñ jare̩d deju o̩do̩ o̩gbo̩ me̩jo̩ nyoke meji tak i bi ino̩k,60
abu ki fu ino̩k bi jare̩d ño̩ deju o̩do̩ icham i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,90
abe̩le̩ o̩jo̩ jare̩d chaka du la cho̩do̩ icham nyo̩gbo̩ me̩jo̩ nyoke meji tak i leku,84
oñ ino̩k deju o̩do̩ o̩gbo̩ me̩ta nyoke me̩lu tak i bi matusala,62
abu ki fu matusala bi ino̩k tale kpai o̩jo̩ o̩do̩ oli me̩fa i ño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,101
abe̩le̩ o̩jo̩ ino̩k chaka du la che o̩do̩ oli mebie nyoke me̩gwe̩lu,67
ino̩k la tale kpai o̩jo̩ tak i ma ño̩ do̩mo̩ ge̩ n todu o̩jo̩ mowñ du,69
oñ matusala deju o̩do̩ o̩gbo̩ me̩la nyoke mebie tak i bi lame̩k,63
abu ki fu lame̩k bi matusala ño̩ deju o̩do̩ ulo̩gwa nyo̩gbo̩ me̩la nyoke meji i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,121
abe̩le̩ o̩jo̩ matusala chaka du la cho̩do̩ icham nyo̩gbo̩ me̩jo̩ nyoke me̩la tak i leku,87
oñ lame̩k deju o̩do̩ o̩gbo̩ me̩la nyoke meji tak i fo̩ma e̩ne̩ke̩le̩ bi,71
oñ i doduwñ ko̩ noa i kakini owñ kide̩ anyuwa e̩do̩ ugbo uko̩lo̩wa kpai ugbo akanya ka ano̩wo̩wa che todu ane̩ eki jihofa nama ñw u,131
abu ki fu noa bi lame̩k ño̩ deju o̩do̩ oke me̩lu chi ulo̩gwa i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩,104
abe̩le̩ o̩jo̩ lame̩k chaka du la cho̩do̩ ulo̩gwa nyo̩gbo̩ me̩jo̩ nyoke me̩gwebie tak i leku,91
oñ o̩do̩ noa choli me̩gwa noa la fu she̩m kpai ham kpai jefe̩t bi,65
inabali uwobi omi le̩,21
abe̩le̩ e̩gba kamone̩ chane̩ ewewe bile̩i ma ku ma la bi amo̩ma onobule̩ ñwu ma,79
amo̩ma o̩jo̩ famo̩ma onobule̩ amone̩ li ku ma chefe̩reju taku ma fuma tu chaka oñ ma no̩ya kwef abo ele̩ ñw o̩lama,114
taku jihofa kakini afumi achakanya nyone̩ gbogbo alo ef ilama ge̩ n todabu kowñ cho̩re̩la o̩jo̩wñ acho̩do̩ o̩gbo̩ me̩fa ta,122
amakachi jane̩ile̩ adiko le̩ kpai anubiwñ ge̩ e̩gba kamo̩ma o̩jo̩ wejefu ugbo amo̩ma onobule̩ amone̩ ku ma bi amo̩ma ñwu ma abo kide̩ chamagbiti ku ma do̩mo̩ igbelegbele ama chame̩nuwohi le̩,190
oñ jihofa li ke̩bie̩ne̩ one̩ chololo ane̩ile̩ kibe du ki de̩do̩wñ ki añwa che̩bie̩ne̩ gbogbo do̩jo̩,99
tak e̩do̩ jihofa murida ugbo one̩ ki che ane̩ile̩ i la kpowñ e̩do̩ bie̩,71
taki jihofa kakini nakpone̩ ku nyi le̩ lu beju ane̩ te̩ tone̩ te̩la abe̩re̩me̩le̩ tame̩wñ ki afa tame̩we̩ ojale todu e̩do̩mi murida eche ma ku che ma le̩,153
jihofa muda li noa eju,22
aboi cho̩lo̩pu o̩gba o̩gba noa noa che̩ne̩ke̩le̩ o̩kpakpa i mufu ef abo o̩gbawñ noa tale kpai o̩jo̩,99
noa famo̩ma e̩ne̩ke̩le̩ me̩ta bi she̩m kpai ham kpai jefe̩t,59
ane̩ile̩i la mubie̩ te̩ eju o̩jo̩ oñ o̩lachi che̩ko̩ ane̩ile̩,61
tak o̩jo̩ fane̩ile̩i go go i la mubie̩ te̩ todu o̩re̩la du fo̩nawñ bie̩ ane̩ile̩,80
tak o̩jo̩ ka ñwu noa kakini eda o̩re̩la du lewa o̩gbami me̩ todu ane̩ile̩ che̩ko̩ ñw o̩lachi lugbo ma go omi akpama bie̩ manyu ane̩ile̩,135
uwe̩ ki noli go̩fe̩r cho̩ko̩ e̩ fefu o̩ko̩ le̩ ko̩da unyi unyi ke̩ do̩bia kwo̩ ejefuwñ kpai e̩j o̩do̩dawñ,105
alu kuwe̩ ache de̩ ujiji o̩ko̩ le̩ ki chohiba oli me̩fa unulawñ ki chohiba ooje o̩gbawñ ki chohiba ogue̩gwa,107
e̩ ki che ope̩ o̩ko̩ le̩ ki bo̩ ohibaka ate̩wñ e̩ falugbo̩na o̩ko̩ che akolowñ o̩wo̩ka uwe̩ ki che ki ne̩ unyi o̩gane̩ ki nekeji ate̩wñ e̩ke̩ta ki la de̩ otitalawñ ate̩,168
tak omi e̩ go naduwobi omi wa bane̩ile̩ ma ku kpa o̩re̩la du kafu iñmi defuwñ bie̩ bo̩gane̩ efojale te̩ e̩wñ du ki jane̩ile̩ aku,128
omi muda akpalomi kpai uwe̩ uwe̩ la awef o̩ko̩ le̩ uwe̩ kpai amo̩mawe̩ e̩ne̩ke̩le̩ kpai o̩yawe̩ kpai amo̩ya amo̩mawe̩ manyu uwe̩,128
e̩wñ o̩re̩la du ki niñmi e̩ ki muche̩uche̩ma eji eji ko wef o̩ko̩ ku ma ki deju kpai uwe̩ ama ki cho̩ko̩ kpai ole,113
uche̩uche̩ eame̩we̩ kpai uche̩uche̩ ame̩la abe̩re̩me̩le̩ kpai uche̩uche̩ e̩wñ ki afa ane̩ okoke du uche̩uche̩wñ e̩wñ ojoji ojoji du awugbo we̩ eji eji ku ma deju,161
uje̩wñ du ku ma aje̩ e̩ naya jo̩ ugbo we̩ ele̩ achuje̩wñ uwe̩ kpai ama,70
noa fabe̩le̩ che alu du ko̩jo̩ ñwa ñw u abe̩le̩ i la che,56
omi wobi te̩,12
taki jihofa ka ñwu noa kakini uwe̩ kpai abo unyiwe̩ du ki nyef o̩ko̩ todu uwe̩ oñ omi li ka ke̩ che̩no̩kpakpa o̩gbami ef abo o̩gba kide̩,136
e̩la abe̩re̩me̩le̩ du ki de̩hio̩lo e̩ nako wugbo we̩ ebie ebie o̩ko̩ kpai olewñ o̩ko̩ kpai olewñ ee̩la abe̩re̩me̩le̩ ku ma ma de̩hio̩lo n ki cheji eji o̩ko̩ kpolewñ,164
kpai ame̩we̩ ojale ebie ebie̩ ge̩ o̩ko̩ kpai ole kugbe̩ma ki deju ane̩ile̩i,75
todu i bo̩ o̩jo̩ mebie tak u naje̩ ñw omi lo̩ bane̩ile̩ ma o̩jo̩ o̩gbo̩ meji kpai odu o̩gbo̩ meji oñ e̩wñ du ku che ki deju nakpalu beju ane̩ te̩,145
noa la che alu du ki jihofa ñwa ñw u,36
o̩do̩ noa la chulo̩gwa e̩gba kuwobi omi le̩ bane̩ile̩ ma,56
